timestamp,ALLSKY_SFC_SW_DWN_Wh_m2,date,hour,T2M_C,WS10M_m_s
2024-01-03 13:00:00,670.44,2024-01-03,13,26.24,2.67
2024-01-03 14:00:00,513.91,2024-01-03,14,26.43,2.57
2024-01-03 15:00:00,316.2,2024-01-03,15,26.24,2.54
2024-01-03 16:00:00,121.14,2024-01-03,16,25.69,2.57
2024-01-03 17:00:00,0.0,2024-01-03,17,24.82,2.67
2024-01-03 18:00:00,0.0,2024-01-03,18,23.68,2.83
2024-01-03 19:00:00,0.0,2024-01-03,19,22.35,3.04
2024-01-03 20:00:00,0.0,2024-01-03,20,20.93,3.28
2024-01-03 21:00:00,0.0,2024-01-03,21,19.5,3.54
2024-01-03 22:00:00,0.0,2024-01-03,22,18.18,3.8
2024-01-03 23:00:00,0.0,2024-01-03,23,17.04,4.04
2024-01-04 00:00:00,0.0,2024-01-04,0,15.95,4.3
2024-01-04 01:00:00,0.0,2024-01-04,1,15.4,4.46
2024-01-04 02:00:00,0.0,2024-01-04,2,15.22,4.56
2024-01-04 03:00:00,0.0,2024-01-04,3,15.4,4.6
2024-01-04 04:00:00,0.0,2024-01-04,4,15.95,4.56
2024-01-04 05:00:00,0.0,2024-01-04,5,16.83,4.46
2024-01-04 06:00:00,0.0,2024-01-04,6,17.97,4.3
2024-01-04 07:00:00,125.03,2024-01-04,7,19.29,4.1
2024-01-04 08:00:00,314.44,2024-01-04,8,20.72,3.86
2024-01-04 09:00:00,500.0,2024-01-04,9,22.14,3.6
2024-01-04 10:00:00,657.31,2024-01-04,10,23.47,3.34
2024-01-04 11:00:00,753.61,2024-01-04,11,24.61,3.1
2024-01-04 12:00:00,758.02,2024-01-04,12,25.48,2.89
2024-01-04 13:00:00,666.17,2024-01-04,13,26.03,2.73
2024-01-04 14:00:00,505.54,2024-01-04,14,26.22,2.63
2024-01-04 15:00:00,314.44,2024-01-04,15,26.03,2.6
2024-01-04 16:00:00,123.66,2024-01-04,16,25.48,2.63
2024-01-04 17:00:00,0.0,2024-01-04,17,24.61,2.73
2024-01-04 18:00:00,0.0,2024-01-04,18,23.47,2.89
2024-01-04 19:00:00,0.0,2024-01-04,19,22.14,3.1
2024-01-04 20:00:00,0.0,2024-01-04,20,20.72,3.34
2024-01-04 21:00:00,0.0,2024-01-04,21,19.29,3.6
2024-01-04 22:00:00,0.0,2024-01-04,22,17.97,3.86
2024-01-04 23:00:00,0.0,2024-01-04,23,16.83,4.1
2024-01-05 00:00:00,0.0,2024-01-05,0,15.55,4.28
2024-01-05 01:00:00,0.0,2024-01-05,1,15.0,4.44
2024-01-05 02:00:00,0.0,2024-01-05,2,14.82,4.54
2024-01-05 03:00:00,0.0,2024-01-05,3,15.0,4.58
2024-01-05 04:00:00,0.0,2024-01-05,4,15.55,4.54
2024-01-05 05:00:00,0.0,2024-01-05,5,16.43,4.44
2024-01-05 06:00:00,0.0,2024-01-05,6,17.57,4.28
2024-01-05 07:00:00,124.44,2024-01-05,7,18.89,4.08
2024-01-05 08:00:00,319.43,2024-01-05,8,20.32,3.84
2024-01-05 09:00:00,516.87,2024-01-05,9,21.74,3.58
2024-01-05 10:00:00,678.71,2024-01-05,10,23.07,3.32
2024-01-05 11:00:00,763.99,2024-01-05,11,24.21,3.08
2024-01-05 12:00:00,751.61,2024-01-05,12,25.08,2.87
2024-01-05 13:00:00,653.85,2024-01-05,13,25.63,2.71
2024-01-05 14:00:00,501.32,2024-01-05,14,25.82,2.61
2024-01-05 15:00:00,319.43,2024-01-05,15,25.63,2.58
2024-01-05 16:00:00,128.3,2024-01-05,16,25.08,2.61
2024-01-05 17:00:00,0.0,2024-01-05,17,24.21,2.71
2024-01-05 18:00:00,0.0,2024-01-05,18,23.07,2.87
2024-01-05 19:00:00,0.0,2024-01-05,19,21.74,3.08
2024-01-05 20:00:00,0.0,2024-01-05,20,20.32,3.32
2024-01-05 21:00:00,0.0,2024-01-05,21,18.89,3.58
2024-01-05 22:00:00,0.0,2024-01-05,22,17.57,3.84
2024-01-05 23:00:00,0.0,2024-01-05,23,16.43,4.08
2024-01-06 00:00:00,0.0,2024-01-06,0,15.08,4.19
2024-01-06 01:00:00,0.0,2024-01-06,1,14.53,4.34
2024-01-06 02:00:00,0.0,2024-01-06,2,14.35,4.44
2024-01-06 03:00:00,0.0,2024-01-06,3,14.53,4.48
2024-01-06 04:00:00,0.0,2024-01-06,4,15.08,4.44
2024-01-06 05:00:00,0.0,2024-01-06,5,15.96,4.34
2024-01-06 06:00:00,0.0,2024-01-06,6,17.1,4.19
2024-01-06 07:00:00,126.48,2024-01-06,7,18.42,3.98
2024-01-06 08:00:00,329.63,2024-01-06,8,19.85,3.74
2024-01-06 09:00:00,532.53,2024-01-06,9,21.27,3.48
2024-01-06 10:00:00,686.5,2024-01-06,10,22.6,3.22
2024-01-06 11:00:00,755.79,2024-01-06,11,23.73,2.98
2024-01-06 12:00:00,735.92,2024-01-06,12,24.61,2.77
2024-01-06 13:00:00,646.61,2024-01-06,13,25.16,2.61
2024-01-06 14:00:00,507.58,2024-01-06,14,25.35,2.51
2024-01-06 15:00:00,329.63,2024-01-06,15,25.16,2.48
2024-01-06 16:00:00,132.7,2024-01-06,16,24.61,2.51
2024-01-06 17:00:00,0.0,2024-01-06,17,23.73,2.61
2024-01-06 18:00:00,0.0,2024-01-06,18,22.6,2.77
2024-01-06 19:00:00,0.0,2024-01-06,19,21.27,2.98
2024-01-06 20:00:00,0.0,2024-01-06,20,19.85,3.22
2024-01-06 21:00:00,0.0,2024-01-06,21,18.42,3.48
2024-01-06 22:00:00,0.0,2024-01-06,22,17.1,3.74
2024-01-06 23:00:00,0.0,2024-01-06,23,15.96,3.98
2024-01-07 00:00:00,0.0,2024-01-07,0,14.69,4.02
2024-01-07 01:00:00,0.0,2024-01-07,1,14.14,4.18
2024-01-07 02:00:00,0.0,2024-01-07,2,13.95,4.28
2024-01-07 03:00:00,0.0,2024-01-07,3,14.14,4.32
2024-01-07 04:00:00,0.0,2024-01-07,4,14.69,4.28
2024-01-07 05:00:00,0.0,2024-01-07,5,15.56,4.18
2024-01-07 06:00:00,0.0,2024-01-07,6,16.7,4.02
2024-01-07 07:00:00,130.58,2024-01-07,7,18.03,3.82
2024-01-07 08:00:00,339.04,2024-01-07,8,19.45,3.57
2024-01-07 09:00:00,537.48,2024-01-07,9,20.87,3.32
2024-01-07 10:00:00,677.53,2024-01-07,10,22.2,3.06
2024-01-07 11:00:00,738.13,2024-01-07,11,23.34,2.82
2024-01-07 12:00:00,725.74,2024-01-07,12,24.21,2.61
2024-01-07 13:00:00,652.65,2024-01-07,13,24.76,2.45
2024-01-07 14:00:00,521.9,2024-01-07,14,24.95,2.35
2024-01-07 15:00:00,339.04,2024-01-07,15,24.76,2.32
2024-01-07 16:00:00,134.47,2024-01-07,16,24.21,2.35
2024-01-07 17:00:00,0.0,2024-01-07,17,23.34,2.45
2024-01-07 18:00:00,0.0,2024-01-07,18,22.2,2.61
2024-01-07 19:00:00,0.0,2024-01-07,19,20.87,2.82
2024-01-07 20:00:00,0.0,2024-01-07,20,19.45,3.06
2024-01-07 21:00:00,0.0,2024-01-07,21,18.03,3.32
2024-01-07 22:00:00,0.0,2024-01-07,22,16.7,3.57
2024-01-07 23:00:00,0.0,2024-01-07,23,15.56,3.82
2024-01-08 00:00:00,0.0,2024-01-08,0,14.48,3.82
2024-01-08 01:00:00,0.0,2024-01-08,1,13.93,3.98
2024-01-08 02:00:00,0.0,2024-01-08,2,13.75,4.08
2024-01-08 03:00:00,0.0,2024-01-08,3,13.93,4.11
2024-01-08 04:00:00,0.0,2024-01-08,4,14.48,4.08
2024-01-08 05:00:00,0.0,2024-01-08,5,15.36,3.98
2024-01-08 06:00:00,0.0,2024-01-08,6,16.5,3.82
2024-01-08 07:00:00,134.39,2024-01-08,7,17.82,3.61
2024-01-08 08:00:00,341.62,2024-01-08,8,19.25,3.37
2024-01-08 09:00:00,529.28,2024-01-08,9,20.67,3.11
2024-01-08 10:00:00,660.04,2024-01-08,10,22.0,2.85
2024-01-08 11:00:00,725.91,2024-01-08,11,23.14,2.61
2024-01-08 12:00:00,730.33,2024-01-08,12,24.01,2.4
2024-01-08 13:00:00,668.93,2024-01-08,13,24.56,2.24
2024-01-08 14:00:00,534.85,2024-01-08,14,24.75,2.14
2024-01-08 15:00:00,341.62,2024-01-08,15,24.56,2.11
2024-01-08 16:00:00,132.99,2024-01-08,16,24.01,2.14
2024-01-08 17:00:00,0.0,2024-01-08,17,23.14,2.24
2024-01-08 18:00:00,0.0,2024-01-08,18,22.0,2.4
2024-01-08 19:00:00,0.0,2024-01-08,19,20.67,2.61
2024-01-08 20:00:00,0.0,2024-01-08,20,19.25,2.85
2024-01-08 21:00:00,0.0,2024-01-08,21,17.82,3.11
2024-01-08 22:00:00,0.0,2024-01-08,22,16.5,3.37
2024-01-08 23:00:00,0.0,2024-01-08,23,15.36,3.61
2024-01-09 00:00:00,0.0,2024-01-09,0,14.54,3.6
2024-01-09 01:00:00,0.0,2024-01-09,1,13.99,3.76
2024-01-09 02:00:00,0.0,2024-01-09,2,13.8,3.86
2024-01-09 03:00:00,0.0,2024-01-09,3,13.99,3.89
2024-01-09 04:00:00,0.0,2024-01-09,4,14.54,3.86
2024-01-09 05:00:00,0.0,2024-01-09,5,15.41,3.76
2024-01-09 06:00:00,0.0,2024-01-09,6,16.55,3.6
2024-01-09 07:00:00,135.53,2024-01-09,7,17.88,3.39
2024-01-09 08:00:00,335.86,2024-01-09,8,19.3,3.15
2024-01-09 09:00:00,514.42,2024-01-09,9,20.72,2.89
2024-01-09 10:00:00,647.4,2024-01-09,10,22.05,2.63
2024-01-09 11:00:00,728.47,2024-01-09,11,23.19,2.39
2024-01-09 12:00:00,746.4,2024-01-09,12,24.06,2.18
2024-01-09 13:00:00,683.42,2024-01-09,13,24.61,2.02
2024-01-09 14:00:00,536.99,2024-01-09,14,24.8,1.92
2024-01-09 15:00:00,335.86,2024-01-09,15,24.61,1.89
2024-01-09 16:00:00,129.83,2024-01-09,16,24.06,1.92
2024-01-09 17:00:00,0.0,2024-01-09,17,23.19,2.02
2024-01-09 18:00:00,0.0,2024-01-09,18,22.05,2.18
2024-01-09 19:00:00,0.0,2024-01-09,19,20.72,2.39
2024-01-09 20:00:00,0.0,2024-01-09,20,19.3,2.63
2024-01-09 21:00:00,0.0,2024-01-09,21,17.88,2.89
2024-01-09 22:00:00,0.0,2024-01-09,22,16.55,3.15
2024-01-09 23:00:00,0.0,2024-01-09,23,15.41,3.39
2024-01-10 00:00:00,0.0,2024-01-10,0,14.82,3.39
2024-01-10 01:00:00,0.0,2024-01-10,1,14.27,3.55
2024-01-10 02:00:00,0.0,2024-01-10,2,14.08,3.65
2024-01-10 03:00:00,0.0,2024-01-10,3,14.27,3.68
2024-01-10 04:00:00,0.0,2024-01-10,4,14.82,3.65
2024-01-10 05:00:00,0.0,2024-01-10,5,15.7,3.55
2024-01-10 06:00:00,0.0,2024-01-10,6,16.83,3.39
2024-01-10 07:00:00,133.38,2024-01-10,7,18.16,3.18
2024-01-10 08:00:00,325.9,2024-01-10,8,19.58,2.94
2024-01-10 09:00:00,503.43,2024-01-10,9,21.01,2.68
2024-01-10 10:00:00,648.09,2024-01-10,10,22.33,2.43
2024-01-10 11:00:00,742.61,2024-01-10,11,23.47,2.18
2024-01-10 12:00:00,760.55,2024-01-10,12,24.35,1.98
2024-01-10 13:00:00,684.14,2024-01-10,13,24.9,1.82
2024-01-10 14:00:00,526.03,2024-01-10,14,25.08,1.72
2024-01-10 15:00:00,325.9,2024-01-10,15,24.9,1.68
2024-01-10 16:00:00,127.65,2024-01-10,16,24.35,1.72
2024-01-10 17:00:00,0.0,2024-01-10,17,23.47,1.82
2024-01-10 18:00:00,0.0,2024-01-10,18,22.33,1.98
2024-01-10 19:00:00,0.0,2024-01-10,19,21.01,2.18
2024-01-10 20:00:00,0.0,2024-01-10,20,19.58,2.43
2024-01-10 21:00:00,0.0,2024-01-10,21,18.16,2.68
2024-01-10 22:00:00,0.0,2024-01-10,22,16.83,2.94
2024-01-10 23:00:00,0.0,2024-01-10,23,15.7,3.18
2024-01-11 00:00:00,0.0,2024-01-11,0,15.25,3.23
2024-01-11 01:00:00,0.0,2024-01-11,1,14.7,3.39
2024-01-11 02:00:00,0.0,2024-01-11,2,14.51,3.49
2024-01-11 03:00:00,0.0,2024-01-11,3,14.7,3.52
2024-01-11 04:00:00,0.0,2024-01-11,4,15.25,3.49
2024-01-11 05:00:00,0.0,2024-01-11,5,16.12,3.39
2024-01-11 06:00:00,0.0,2024-01-11,6,17.26,3.23
2024-01-11 07:00:00,129.59,2024-01-11,7,18.59,3.02
2024-01-11 08:00:00,318.48,2024-01-11,8,20.01,2.78
2024-01-11 09:00:00,503.0,2024-01-11,9,21.43,2.52
2024-01-11 10:00:00,659.32,2024-01-11,10,22.76,2.26
2024-01-11 11:00:00,755.03,2024-01-11,11,23.9,2.02
2024-01-11 12:00:00,759.47,2024-01-11,12,24.77,1.81
2024-01-11 13:00:00,668.23,2024-01-11,13,25.32,1.66
2024-01-11 14:00:00,508.59,2024-01-11,14,25.51,1.56
2024-01-11 15:00:00,318.48,2024-01-11,15,25.32,1.52
2024-01-11 16:00:00,128.16,2024-01-11,16,24.77,1.56
2024-01-11 17:00:00,0.0,2024-01-11,17,23.9,1.66
2024-01-11 18:00:00,0.0,2024-01-11,18,22.76,1.81
2024-01-11 19:00:00,0.0,2024-01-11,19,21.43,2.02
2024-01-11 20:00:00,0.0,2024-01-11,20,20.01,2.26
2024-01-11 21:00:00,0.0,2024-01-11,21,18.59,2.52
2024-01-11 22:00:00,0.0,2024-01-11,22,17.26,2.78
2024-01-11 23:00:00,0.0,2024-01-11,23,16.12,3.02
2024-01-12 00:00:00,0.0,2024-01-12,0,15.67,3.13
2024-01-12 01:00:00,0.0,2024-01-12,1,15.12,3.29
2024-01-12 02:00:00,0.0,2024-01-12,2,14.94,3.39
2024-01-12 03:00:00,0.0,2024-01-12,3,15.12,3.42
2024-01-12 04:00:00,0.0,2024-01-12,4,15.67,3.39
2024-01-12 05:00:00,0.0,2024-01-12,5,16.55,3.29
2024-01-12 06:00:00,0.0,2024-01-12,6,17.69,3.13
2024-01-12 07:00:00,126.85,2024-01-12,7,19.01,2.92
2024-01-12 08:00:00,317.93,2024-01-12,8,20.44,2.68
2024-01-12 09:00:00,511.03,2024-01-12,9,21.86,2.42
2024-01-12 10:00:00,669.27,2024-01-12,10,23.19,2.16
2024-01-12 11:00:00,752.48,2024-01-12,11,24.33,1.92
2024-01-12 12:00:00,740.05,2024-01-12,12,25.2,1.72
2024-01-12 13:00:00,644.27,2024-01-12,13,25.75,1.56
2024-01-12 14:00:00,495.35,2024-01-12,14,25.94,1.46
2024-01-12 15:00:00,317.93,2024-01-12,15,25.75,1.42
2024-01-12 16:00:00,130.86,2024-01-12,16,25.2,1.46
2024-01-12 17:00:00,0.0,2024-01-12,17,24.33,1.56
2024-01-12 18:00:00,0.0,2024-01-12,18,23.19,1.72
2024-01-12 19:00:00,0.0,2024-01-12,19,21.86,1.92
2024-01-12 20:00:00,0.0,2024-01-12,20,20.44,2.16
2024-01-12 21:00:00,0.0,2024-01-12,21,19.01,2.42
2024-01-12 22:00:00,0.0,2024-01-12,22,17.69,2.68
2024-01-12 23:00:00,0.0,2024-01-12,23,16.55,2.92
2024-01-13 00:00:00,0.0,2024-01-13,0,15.97,3.11
2024-01-13 01:00:00,0.0,2024-01-13,1,15.42,3.27
2024-01-13 02:00:00,0.0,2024-01-13,2,15.23,3.37
2024-01-13 03:00:00,0.0,2024-01-13,3,15.42,3.4
2024-01-13 04:00:00,0.0,2024-01-13,4,15.97,3.37
2024-01-13 05:00:00,0.0,2024-01-13,5,16.84,3.27
2024-01-13 06:00:00,0.0,2024-01-13,6,17.98,3.11
2024-01-13 07:00:00,126.93,2024-01-13,7,19.3,2.9
2024-01-13 08:00:00,322.94,2024-01-13,8,20.73,2.66
2024-01-13 09:00:00,518.3,2024-01-13,9,22.15,2.4
2024-01-13 10:00:00,666.11,2024-01-13,10,23.48,2.14
2024-01-13 11:00:00,731.91,2024-01-13,11,24.62,1.9
2024-01-13 12:00:00,711.96,2024-01-13,12,25.49,1.7
2024-01-13 13:00:00,625.98,2024-01-13,13,26.04,1.54
2024-01-13 14:00:00,493.11,2024-01-13,14,26.23,1.44
2024-01-13 15:00:00,322.94,2024-01-13,15,26.04,1.4
2024-01-13 16:00:00,133.41,2024-01-13,16,25.49,1.44
2024-01-13 17:00:00,0.0,2024-01-13,17,24.62,1.54
2024-01-13 18:00:00,0.0,2024-01-13,18,23.48,1.7
2024-01-13 19:00:00,0.0,2024-01-13,19,22.15,1.9
2024-01-13 20:00:00,0.0,2024-01-13,20,20.73,2.14
2024-01-13 21:00:00,0.0,2024-01-13,21,19.3,2.4
2024-01-13 22:00:00,0.0,2024-01-13,22,17.98,2.66
2024-01-13 23:00:00,0.0,2024-01-13,23,16.84,2.9
2024-01-14 00:00:00,0.0,2024-01-14,0,16.03,3.17
2024-01-14 01:00:00,0.0,2024-01-14,1,15.48,3.33
2024-01-14 02:00:00,0.0,2024-01-14,2,15.29,3.43
2024-01-14 03:00:00,0.0,2024-01-14,3,15.48,3.46
2024-01-14 04:00:00,0.0,2024-01-14,4,16.03,3.43
2024-01-14 05:00:00,0.0,2024-01-14,5,16.9,3.33
2024-01-14 06:00:00,0.0,2024-01-14,6,18.04,3.17
2024-01-14 07:00:00,129.35,2024-01-14,7,19.37,2.96
2024-01-14 08:00:00,327.67,2024-01-14,8,20.79,2.72
2024-01-14 09:00:00,515.59,2024-01-14,9,22.22,2.46
2024-01-14 10:00:00,647.17,2024-01-14,10,23.54,2.2
2024-01-14 11:00:00,703.06,2024-01-14,11,24.68,1.96
2024-01-14 12:00:00,690.61,2024-01-14,12,25.56,1.76
2024-01-14 13:00:00,622.13,2024-01-14,13,26.1,1.6
2024-01-14 14:00:00,499.86,2024-01-14,14,26.29,1.5
2024-01-14 15:00:00,327.67,2024-01-14,15,26.1,1.46
2024-01-14 16:00:00,133.42,2024-01-14,16,25.56,1.5
2024-01-14 17:00:00,0.0,2024-01-14,17,24.68,1.6
2024-01-14 18:00:00,0.0,2024-01-14,18,23.54,1.76
2024-01-14 19:00:00,0.0,2024-01-14,19,22.22,1.96
2024-01-14 20:00:00,0.0,2024-01-14,20,20.79,2.2
2024-01-14 21:00:00,0.0,2024-01-14,21,19.37,2.46
2024-01-14 22:00:00,0.0,2024-01-14,22,18.04,2.72
2024-01-14 23:00:00,0.0,2024-01-14,23,16.9,2.96
2024-01-15 00:00:00,0.0,2024-01-15,0,15.84,3.3
2024-01-15 01:00:00,0.0,2024-01-15,1,15.29,3.46
2024-01-15 02:00:00,0.0,2024-01-15,2,15.11,3.56
2024-01-15 03:00:00,0.0,2024-01-15,3,15.29,3.6
2024-01-15 04:00:00,0.0,2024-01-15,4,15.84,3.56
2024-01-15 05:00:00,0.0,2024-01-15,5,16.72,3.46
2024-01-15 06:00:00,0.0,2024-01-15,6,17.86,3.3
2024-01-15 07:00:00,131.78,2024-01-15,7,19.18,3.1
2024-01-15 08:00:00,326.22,2024-01-15,8,20.61,2.85
2024-01-15 09:00:00,500.8,2024-01-15,9,22.03,2.6
2024-01-15 10:00:00,621.18,2024-01-15,10,23.36,2.34
2024-01-15 11:00:00,681.37,2024-01-15,11,24.5,2.1
2024-01-15 12:00:00,685.82,2024-01-15,12,25.37,1.89
2024-01-15 13:00:00,630.13,2024-01-15,13,25.92,1.73
2024-01-15 14:00:00,506.42,2024-01-15,14,26.11,1.63
2024-01-15 15:00:00,326.22,2024-01-15,15,25.92,1.6
2024-01-15 16:00:00,130.31,2024-01-15,16,25.37,1.63
2024-01-15 17:00:00,0.0,2024-01-15,17,24.5,1.73
2024-01-15 18:00:00,0.0,2024-01-15,18,23.36,1.89
2024-01-15 19:00:00,0.0,2024-01-15,19,22.03,2.1
2024-01-15 20:00:00,0.0,2024-01-15,20,20.61,2.34
2024-01-15 21:00:00,0.0,2024-01-15,21,19.18,2.6
2024-01-15 22:00:00,0.0,2024-01-15,22,17.86,2.85
2024-01-15 23:00:00,0.0,2024-01-15,23,16.72,3.1
2024-01-16 00:00:00,0.0,2024-01-16,0,15.47,3.49
2024-01-16 01:00:00,0.0,2024-01-16,1,14.92,3.65
2024-01-16 02:00:00,0.0,2024-01-16,2,14.73,3.75
2024-01-16 03:00:00,0.0,2024-01-16,3,14.92,3.78
2024-01-16 04:00:00,0.0,2024-01-16,4,15.47,3.75
2024-01-16 05:00:00,0.0,2024-01-16,5,16.34,3.65
2024-01-16 06:00:00,0.0,2024-01-16,6,17.48,3.49
2024-01-16 07:00:00,131.78,2024-01-16,7,18.81,3.28
2024-01-16 08:00:00,317.22,2024-01-16,8,20.23,3.04
2024-01-16 09:00:00,480.78,2024-01-16,9,21.65,2.78
2024-01-16 10:00:00,602.0,2024-01-16,10,22.98,2.52
2024-01-16 11:00:00,676.7,2024-01-16,11,24.12,2.28
2024-01-16 12:00:00,694.72,2024-01-16,12,24.99,2.08
2024-01-16 13:00:00,638.26,2024-01-16,13,25.54,1.92
2024-01-16 14:00:00,503.58,2024-01-16,14,25.73,1.82
2024-01-16 15:00:00,317.22,2024-01-16,15,25.54,1.78
2024-01-16 16:00:00,125.81,2024-01-16,16,24.99,1.82
2024-01-16 17:00:00,0.0,2024-01-16,17,24.12,1.92
2024-01-16 18:00:00,0.0,2024-01-16,18,22.98,2.08
2024-01-16 19:00:00,0.0,2024-01-16,19,21.65,2.28
2024-01-16 20:00:00,0.0,2024-01-16,20,20.23,2.52
2024-01-16 21:00:00,0.0,2024-01-16,21,18.81,2.78
2024-01-16 22:00:00,0.0,2024-01-16,22,17.48,3.04
2024-01-16 23:00:00,0.0,2024-01-16,23,16.34,3.28
2024-01-17 00:00:00,0.0,2024-01-17,0,15.02,3.71
2024-01-17 01:00:00,0.0,2024-01-17,1,14.47,3.87
2024-01-17 02:00:00,0.0,2024-01-17,2,14.29,3.97
2024-01-17 03:00:00,0.0,2024-01-17,3,14.47,4.0
2024-01-17 04:00:00,0.0,2024-01-17,4,15.02,3.97
2024-01-17 05:00:00,0.0,2024-01-17,5,15.9,3.87
2024-01-17 06:00:00,0.0,2024-01-17,6,17.04,3.71
2024-01-17 07:00:00,128.77,2024-01-17,7,18.36,3.5
2024-01-17 08:00:00,305.03,2024-01-17,8,19.79,3.26
2024-01-17 09:00:00,466.4,2024-01-17,9,21.21,3.0
2024-01-17 10:00:00,598.47,2024-01-17,10,22.54,2.74
2024-01-17 11:00:00,686.17,2024-01-17,11,23.68,2.5
2024-01-17 12:00:00,704.21,2024-01-17,12,24.55,2.29
2024-01-17 13:00:00,634.77,2024-01-17,13,25.1,2.13
2024-01-17 14:00:00,489.24,2024-01-17,14,25.29,2.03
2024-01-17 15:00:00,305.03,2024-01-17,15,25.1,2.0
2024-01-17 16:00:00,122.76,2024-01-17,16,24.55,2.03
2024-01-17 17:00:00,0.0,2024-01-17,17,23.68,2.13
2024-01-17 18:00:00,0.0,2024-01-17,18,22.54,2.29
2024-01-17 19:00:00,0.0,2024-01-17,19,21.21,2.5
2024-01-17 20:00:00,0.0,2024-01-17,20,19.79,2.74
2024-01-17 21:00:00,0.0,2024-01-17,21,18.36,3.0
2024-01-17 22:00:00,0.0,2024-01-17,22,17.04,3.26
2024-01-17 23:00:00,0.0,2024-01-17,23,15.9,3.5
